tas;pr;Year;Month;Country
8.76123;37.245;2003;4;DEU
14.5392;62.2271;2003;5;DEU
21.1638;62.4402;2003;6;DEU
19.2681;64.5237;2003;7;DEU
20.5164;31.8198;2003;8;DEU
14.5772;44.441;2003;9;DEU
6.48696;67.1054;2003;10;DEU
6.55806;38.5592;2003;11;DEU
2.03682;49.8697;2003;12;DEU
-0.2687;85.931;2004;1;DEU
2.94233;41.7314;2004;2;DEU
4.98955;33.4883;2004;3;DEU
9.63575;35.8689;2004;4;DEU
11.702;66.5542;2004;5;DEU
15.3397;69.2817;2004;6;DEU
16.9063;97.6616;2004;7;DEU
19.0342;79.8017;2004;8;DEU
14.83;53.9349;2004;9;DEU
10.558;55.874;2004;10;DEU
4.38984;60.5306;2004;11;DEU
1.63245;38.9667;2004;12;DEU
2.34062;55.06;2005;1;DEU
-0.8422;50.057;2005;2;DEU
4.03267;39.6769;2005;3;DEU
9.63464;49.4604;2005;4;DEU
13.2912;72.7666;2005;5;DEU
16.7495;53.768;2005;6;DEU
18.4984;106.233;2005;7;DEU
16.3473;83.3377;2005;8;DEU
15.886;48.2196;2005;9;DEU
11.5191;40.4804;2005;10;DEU
4.58487;41.7426;2005;11;DEU
0.84104;54.3627;2005;12;DEU
-2.4452;22.4426;2006;1;DEU
-0.1966;40.7821;2006;2;DEU
1.91574;67.5632;2006;3;DEU
8.39488;60.6753;2006;4;DEU
13.2609;83.4328;2006;5;DEU
17.2826;47.1597;2006;6;DEU
22.4364;49.4638;2006;7;DEU
16.1507;123.717;2006;8;DEU
17.3996;34.7254;2006;9;DEU
12.8346;58.2976;2006;10;DEU
7.67349;50.4835;2006;11;DEU
4.89768;45.4769;2006;12;DEU
4.56182;81.3176;2007;1;DEU
3.92031;62.358;2007;2;DEU
6.6104;58.5623;2007;3;DEU
13.6544;6.57799;2007;4;DEU
14.6649;115.284;2007;5;DEU
17.8249;103.776;2007;6;DEU
17.7532;115.144;2007;7;DEU
17.5315;89.7247;2007;8;DEU
13.1496;82.3765;2007;9;DEU
9.00071;25.2434;2007;10;DEU
3.96132;73.1414;2007;11;DEU
2.01925;54.477;2007;12;DEU
3.59217;63.6126;2008;1;DEU
4.4175;35.3325;2008;2;DEU
5.05507;71.4798;2008;3;DEU
8.42583;72.6018;2008;4;DEU
14.7832;32.9395;2008;5;DEU
17.438;59.4989;2008;6;DEU
18.5435;84.7327;2008;7;DEU
18.0275;80.6313;2008;8;DEU
13.0731;52.6422;2008;9;DEU
9.55051;73.5813;2008;10;DEU
5.33844;40.2931;2008;11;DEU
1.45098;40.4567;2008;12;DEU
-1.3156;28.7774;2009;1;DEU
1.2332;50.7175;2009;2;DEU
4.66648;67.9714;2009;3;DEU
12.1542;26.8949;2009;4;DEU
14.257;74.5626;2009;5;DEU
15.0555;80.491;2009;6;DEU
18.6342;103.596;2009;7;DEU
19.2937;39.4341;2009;8;DEU
15.3057;39.5038;2009;9;DEU
